               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.016138,           0.0047841,                   0,             0.99733,                0.99,             0.98832,             0.64747,            0.024456,           0.0028236,                   0,           0.0045748,           0.0045748,           0.0045748
                 139,            0.015819,           0.0047267,                   0,             0.97928,                0.98,             0.98843,             0.64351,            0.025099,           0.0028558,                   0,           0.0045352,           0.0045352,           0.0045352
                 140,            0.016644,           0.0045648,                   0,              0.9797,                0.99,             0.98842,             0.64551,            0.025029,           0.0028135,                   0,           0.0044956,           0.0044956,           0.0044956
                 141,            0.016025,           0.0045918,                   0,             0.99789,                0.99,             0.99471,              0.6452,            0.025288,            0.002687,                   0,            0.004456,            0.004456,            0.004456
                 142,            0.015802,           0.0047873,                   0,             0.97063,                   1,             0.99411,             0.65144,            0.024751,           0.0027067,                   0,           0.0044164,           0.0044164,           0.0044164
                 143,            0.015744,           0.0046297,                   0,             0.98018,             0.98905,             0.99295,             0.64358,            0.025747,           0.0027555,                   0,           0.0043768,           0.0043768,           0.0043768
                 144,            0.015718,           0.0045169,                   0,             0.98999,             0.98881,             0.98985,             0.64341,            0.024548,           0.0026453,                   0,           0.0043372,           0.0043372,           0.0043372
                 145,             0.01604,           0.0046242,                   0,             0.98017,             0.98876,             0.99201,             0.64134,            0.024923,           0.0026629,                   0,           0.0042976,           0.0042976,           0.0042976
                 146,            0.016026,           0.0046256,                   0,             0.98532,                0.99,             0.99347,             0.64224,            0.024914,           0.0026583,                   0,            0.004258,            0.004258,            0.004258
                 147,            0.015514,           0.0045144,                   0,             0.98889,                0.99,             0.99292,             0.65387,            0.023509,             0.00264,                   0,           0.0042184,           0.0042184,           0.0042184
                 148,            0.015946,           0.0045443,                   0,              0.9691,                0.99,             0.99082,             0.63201,            0.024588,           0.0027621,                   0,           0.0041788,           0.0041788,           0.0041788
                 149,            0.015698,           0.0045123,                   0,             0.97993,             0.97636,             0.98637,             0.63457,            0.024862,           0.0027001,                   0,           0.0041392,           0.0041392,           0.0041392
                 150,            0.015173,           0.0045013,                   0,              0.9888,                0.99,             0.99391,             0.64676,            0.024158,           0.0026063,                   0,           0.0040996,           0.0040996,           0.0040996
                 151,            0.015541,           0.0044467,                   0,             0.99857,                0.99,             0.99401,             0.63909,             0.02388,           0.0026222,                   0,             0.00406,             0.00406,             0.00406
                 152,            0.015166,           0.0045091,                   0,                   1,             0.98832,             0.99471,             0.64835,            0.024054,           0.0026311,                   0,           0.0040204,           0.0040204,           0.0040204
                 153,            0.015235,           0.0045626,                   0,             0.98941,                0.98,             0.99264,              0.6516,            0.023738,           0.0025997,                   0,           0.0039808,           0.0039808,           0.0039808
                 154,            0.014998,           0.0043502,                   0,             0.98989,             0.97926,             0.99422,             0.64024,              0.0243,           0.0026064,                   0,           0.0039412,           0.0039412,           0.0039412
                 155,            0.015074,           0.0044327,                   0,             0.98978,             0.96872,             0.98721,             0.63944,            0.024821,            0.002573,                   0,           0.0039016,           0.0039016,           0.0039016
                 156,            0.015118,           0.0045057,                   0,             0.98989,             0.97922,             0.99081,             0.65983,            0.023947,           0.0026022,                   0,            0.003862,            0.003862,            0.003862
                 157,            0.014683,           0.0044845,                   0,             0.97015,             0.97502,             0.98594,             0.65604,            0.024867,           0.0025977,                   0,           0.0038224,           0.0038224,           0.0038224
                 158,            0.015095,            0.004544,                   0,             0.97975,             0.96747,             0.98468,             0.63637,            0.024619,           0.0025983,                   0,           0.0037828,           0.0037828,           0.0037828
                 159,            0.015183,           0.0043817,                   0,             0.98416,                0.97,             0.97832,             0.64193,            0.024229,           0.0026011,                   0,           0.0037432,           0.0037432,           0.0037432
                 160,            0.015013,           0.0043407,                   0,             0.96646,                0.98,             0.97754,             0.64464,            0.023996,           0.0026286,                   0,           0.0037036,           0.0037036,           0.0037036
                 161,            0.014929,           0.0043714,                   0,             0.97054,             0.98848,             0.99272,             0.65256,            0.024033,           0.0025949,                   0,            0.003664,            0.003664,            0.003664
                 162,            0.014444,           0.0043337,                   0,             0.97086,             0.99936,             0.99391,             0.66598,            0.024343,           0.0026105,                   0,           0.0036244,           0.0036244,           0.0036244
                 163,            0.014893,           0.0043077,                   0,             0.94977,                0.98,             0.98314,             0.67372,             0.02419,           0.0026763,                   0,           0.0035848,           0.0035848,           0.0035848
